scenario,episode,particle_count,max_particles_setting,MAE,MSE,RMSE,total_inference_time_ms,avg_time_per_step_ms,throughput_fps,peak_memory_mb,baseline_memory_mb,memory_overhead_mb,total_timesteps,device,run_id,base_scenario
rpf_1000p_run1,0,1000,1000,0.27658748626708984,0.09857963770627975,0.31397394431111597,10604.876953125,353.49591064453125,2.8288870391080168,1971.828125,583.078125,1388.75,30,mps,1,rpf_1000p
rpf_2000p_run1,0,2000,2000,0.25842589139938354,0.09670370072126389,0.3109721864110421,15684.39453125,522.8131713867188,1.9127291635510686,2407.40625,2370.546875,36.859375,30,mps,1,rpf_2000p
rpf_3000p_run1,0,3000,3000,0.25576066970825195,0.09809340536594391,0.31319866756731884,26274.03515625,875.8011474609375,1.1418117033748258,2464.0625,2248.703125,215.359375,30,mps,1,rpf_3000p
rpf_1000p_run2,0,1000,1000,0.27603861689567566,0.0984012633562088,0.31368975653694653,7507.8515625,250.26171875,3.9958168792045825,2291.453125,2011.796875,279.65625,30,mps,2,rpf_1000p
rpf_2000p_run2,0,2000,2000,0.25626617670059204,0.09526870399713516,0.3086562877978272,16708.009765625,556.9336547851562,1.795546006975933,2426.75,2104.34375,322.40625,30,mps,2,rpf_2000p
rpf_3000p_run2,0,3000,3000,0.25570783019065857,0.09806874394416809,0.313159294839173,22814.251953125,760.4750366210938,1.314967555599395,2481.3125,2418.234375,63.078125,30,mps,2,rpf_3000p
rpf_1000p_run3,0,1000,1000,0.2772441804409027,0.09912597388029099,0.3148427764461033,6336.01318359375,211.200439453125,4.7348386328615835,2415.734375,2349.484375,66.25,30,mps,3,rpf_1000p
rpf_2000p_run3,0,2000,2000,0.2567621171474457,0.09574674069881439,0.30942970235388584,17100.4375,570.0145874023438,1.7543410679315683,2434.109375,2342.21875,91.890625,30,mps,3,rpf_2000p
rpf_3000p_run3,0,3000,3000,0.2557346224784851,0.0980052575469017,0.31305791404611016,22222.771484375,740.759033203125,1.3499666628105607,2494.328125,2238.21875,256.109375,30,mps,3,rpf_3000p
rpf_1000p_run4,0,1000,1000,0.2763684093952179,0.09846021234989166,0.31378370312986564,5863.78173828125,195.4593963623047,5.116152094046142,2455.953125,2422.453125,33.5,30,mps,4,rpf_1000p
rpf_2000p_run4,0,2000,2000,0.25750845670700073,0.09616263210773468,0.3101010030743768,14393.0693359375,479.76898193359375,2.0843364987243236,2479.78125,2456.65625,23.125,30,mps,4,rpf_2000p
rpf_3000p_run4,0,3000,3000,0.2556839883327484,0.09795843809843063,0.3129831274980021,24214.798828125,807.1599731445312,1.2389117811481696,2434.71875,2217.546875,217.171875,30,mps,4,rpf_3000p
rpf_1000p_run5,0,1000,1000,0.2757259011268616,0.09806273877620697,0.3131497066519574,5170.88623046875,172.3628692626953,5.801713584124183,2446.46875,2408.515625,37.953125,30,mps,5,rpf_1000p
rpf_2000p_run5,0,2000,2000,0.25781872868537903,0.0964806005358696,0.3106132652284342,15690.873046875,523.0291137695312,1.911939457428831,2483.703125,2431.890625,51.8125,30,mps,5,rpf_2000p
rpf_3000p_run5,0,3000,3000,0.25572067499160767,0.09802653640508652,0.31309189769951973,20699.638671875,689.9879760742188,1.4493006178015408,2397.53125,2213.65625,183.875,30,mps,5,rpf_3000p
rpf_5000p_run1,0,5000,5000,0.25103429555892944,0.09532752037048341,0.30875142955780035,38172.45703125,1272.4152343750001,0.7858040100928894,2712.890625,2440.890625,272.0,30,mps,1,rpf_5000p
rpf_5000p_run2,0,5000,5000,0.25131147146224976,0.09557388186454773,0.30913541317224504,41267.1484375,1375.5716145833334,0.7269642857142857,2697.546875,2492.71875,204.828125,30,mps,2,rpf_5000p
rpf_5000p_run3,0,5000,5000,0.25114367902278903,0.09540521979331972,0.30889392197132113,39589.1328125,1319.6377604166667,0.7577337865748709,2724.21875,2537.34375,186.875,30,mps,3,rpf_5000p
rpf_5000p_run4,0,5000,5000,0.25082945823669436,0.09517213046550753,0.3084995405375344,42034.63671875,1401.154557291667,0.7137022900763359,2689.734375,2486.109375,203.625,30,mps,4,rpf_5000p
rpf_5000p_run5,0,5000,5000,0.2511921703815461,0.09542137384414673,0.3089682774346733,40315.76953125,1343.8589843750001,0.7440650406504065,2708.421875,2513.578125,194.84375,30,mps,5,rpf_5000p